Chapter,Filename
2,SP BG 02-26-29 Hyderabad 1972-11-30 Vedic and Parampara System
2,
2,SP BG 02-26 Los Angeles 1968-12-06 Evolution and Other Rubbish
2,
2,SP BG 02-28-38 Los Angeles 1968-12-11 Some Look On the Soul As Amazing
2,
2,SP BG 02-28 London 1973-08-30 Materialists--What Do They Know
2,
2,SP BG 02-30 London 1973-08-31 Matter Grows on the Platform of Spirit
2,
2,SP BG 02-31 London 1973-09-01 Duties of the Body and Soul
2,
2,SP BG 02-32 London 1973-09-02 Government Must Be Very Strict
2,
2,SP BG 02-33-35 London 1973-09-03 Dishonor Is Worse than Death
2,
2,SP BG 02-36-38 London 1973-09-04 Compassion On the Battlefield
2,
2,SP BG 02-39 London 1973-09-12 Supreme Deceiver and Lover
2,
2,SP BG 02-40-45 Los Angeles 1968-12-13 Material vs. Spiritual Culture
2,
2,SP BG 02-40 Los Angeles 1968-12-13 Material vs. Spiritual Culture
2,
2,SP BG 02-46-62 Los Angeles 1968-12-16 The Miser and the Mahatma
2,
2,SP BG 02-47 New York 1966-03-28 Soul's Constitutional Position
2,
2,SP BG 02-48 New York 1966-04-01 Keeping in Touch with the Supreme
2,
2,SP BG 02-49 New York 1966-04-05 One Should Spend All Energies--etc
2,
2,SP BG 02-51-54 New York 1966-04-12 Dovetailing Yourself with the Supreme
2,
2,SP BG 02-55 New York 1966-04-15 Coming Off the Mental Platform
2,
2,SP BG 02-55 New York 1966-04-19 Engaging in Devotional Service--etc
2,
2,SP BG 02-58 New York 1966-04-27 The Secret of Detachment
2,
2,SP BG 02-62-72 Los Angeles 1968-12-19 Secret of Controlling the Senses
3,
3,SP BG 03-01-05 Los Angeles 1968-12-20 Philosophy & Religion Combined
3,
3,SP BG 03-06-10 Los Angeles 1968-12-23 From Pretension to Purity
3,
3,SP BG 03-07 Madras 1976-01-01 Educating the Mudhas
3,
3,SP BG 03-08-13 New York 1966-05-20 Yajna Means Work for Vishnu
3,
3,SP BG 03-09-14 Vrindavan 1974-02-06
3,
3,SP BG 03-11-19 Los Angeles 1968-12-27 There Is No Overpopulation
3,
3,SP BG 03-13-16 New York 1966-05-23 Karma-yoga- Becoming God's Yes Man
3,
3,SP BG 03-16 New York 1966-05-25 You Have to Love Through God
3,
3,SP BG 03-17 New York 1966-05-27 Bhagavad-gita-- for the Common Man
3,
3,SP BG 03-18-30 Los Angeles 1968-12-30 How a Self Realized Soul Acts
3,
3,SP BG 03-21-24 New York 1966-05-30 How to Become An Ideal Person
3,
3,SP BG 03-25 Hyderabad 1976-12-17 Plan Making for More Suffering
3,
3,SP BG 03-27 Melbourne 1974-06-27 At Town Hall--Tiger or--etc
3,
3,SP BG 03-29-43 Los Angeles 1969-01-01 Servant of God or Dog
4,
4,SP BG 04-01-02 Columbus 1969-05-09 Big Scholars Can't Get What--etc
4,
4,SP BG 04-01-06 Los Angeles 1969-01-03 The Most Important Knowledge
4,
4,SP BG 04-01 Bombay 1974-03-21 Take Perfect Knowledge
4,
4,SP BG 04-01 Columbus 1969-05-09 Big Scholars Can't Get What--etc
4,
4,SP BG 04-01 Vrindavan 1974-02-07
4,
4,SP BG 04-02 Bombay 1974-03-22 Government's Choice-Krishna--etc
4,
4,SP BG 04-02 Vrindavan 1974-02-08
4,
4,SP BG 04-03-06 New York 1966-07-18 Forgetfulness of the Lord
4,
4,SP BG 04-03 Bombay 1974-03-23 Cheating Religion Thrown Out
4,
4,SP BG 04-03 Vrindavan 1974-02-10
4,
4,SP BG 04-04 Bombay 1974-03-24 Why We Forget and God Doesn't
4,
4,SP BG 04-04 Vrindavan 1974-02-12
4,
4,SP BG 04-05 Bombay 1974-03-25 Learning to Love Unlimited One
4,
4,SP BG 04-05 Vrindavan 1974-02-13
4,
4,SP BG 04-06-08 New York 1966-07-20 Why the Lord and His--etc
4,
4,SP BG 04-06-10 Los Angeles 1969-01-06 The Krishna Consciousness--etc
4,
4,SP BG 04-06 Bombay 1974-03-26 Try to Be Godly - Not God
4,
4,SP BG 04-07 Bombay 1974-03-27 Dharma and the Disease
4,
4,SP BG 04-07 Montreal 1968-08-13 The Divine Descent of Our Duty
4,
4,SP BG 04-08 Bombay 1974-03-28 Everyone is Trying to Become the Master
4,
4,SP BG 04-09 Bombay 1974-03-29 Cheater Leaders
4,
4,SP BG 04-09 New York 1966-07-25 Take Assistance From A Person--etc
4,
4,SP BG 04-10 Bombay 1974-03-30 Reducing our Animality--etc
4,
4,SP BG 04-10 Calcutta 1974-09-23 The World Is a Foreign Country
4,
4,SP BG 04-10 Geneva 1974-05-31
4,
4,SP BG 04-10 Public Lecture Rome 1974-05-25
4,
4,SP BG 04-10 Vrindavan 1974-08-02 No Question of Happiness Here
4,
4,SP BG 04-11-18 Los Angeles 1969-01-08 Krishna Belongs to Everyone
4,
4,SP BG 04-11 Bombay 1974-03-31 Krishna Will Accept you Any--etc
4,
4,SP BG 04-11 Geneva 1974-06-01 We Are Naturally Jubilant
4,
4,SP BG 04-11 New York 1966-07-28 Know Krishna--Get Liberation
4,
4,SP BG 04-11 Vrindavan 1974-08-03 This Skin=Suffering This--etc
4,
4,SP BG 04-12-13 New York 1966-07-30 Become Brahmana--Twice-born
4,
4,SP BG 04-12 Bombay 1974-04-01 Hear Talk Chant Eat Work--etc
4,
4,SP BG 04-12 Vrindavan 1974-08-04 Big Ambition-Little Brain
4,
4,SP BG 04-13-14 New York 1966-08-01 Divisions of Human Society
4,
4,SP BG 04-13 Bombay 1974-04-02 Kill Krishna Gita Commentaries
4,
4,SP BG 04-13 Johannesburg 1975-10-19 Sunday Feast--Cat and Dog Society
4,
4,SP BG 04-13 New York 1973-04-08 Sunday Feast--The Social Body--etc
4,
4,SP BG 04-13 Vrindavan 1974-08-05
4,
4,SP BG 04-14-19 New York 1966-08-03 Karma-Akarma
4,
4,SP BG 04-14 Bombay 1974-04-03 Liberated By Understanding--etc
4,
4,SP BG 04-14 Vrindavan 1974-08-06 Who Can Understand Krishna
4,
4,SP BG 04-15 Bombay 1974-04-04
4,
4,SP BG 04-15 Bombay 1974-04-05 Modern Civilization Vs. Model--etc
4,
4,SP BG 04-16 Bombay 1974-04-05 Today's Education
4,
4,SP BG 04-17 Bombay 1974-04-06 How to Act-How Not to Act
4,
4,SP BG 04-18 Bombay 1974-04-07 The Highest Success in Life
4,
4,SP BG 04-18 Delhi 1973-11-03 Everyone Without Krishna--etc
4,
4,SP BG 04-19-22 New York 1966-08-08 How to Satisfy Krishna
4,
4,SP BG 04-19-25 Los Angeles 1969-01-10 Curing the Material Disease
4,
4,SP BG 04-19 Bombay 1974-04-08 Material Life-Lusty Desires
4,
4,SP BG 04-19 New York 1966-08-08 How to Satisfy Krishna
4,
4,SP BG 04-20-24 New York 1966-08-09 Varieties of Sacrifice
4,
4,SP BG 04-20 Bombay 1974-04-09 Mundane and Divine Dividends
4,
4,SP BG 04-21 Bombay 1974-04-10 A Life of Purity
4,
4,SP BG 04-22 Bombay 1974-04-11 Envious Gross-bodily Religions
4,
4,SP BG 04-23 Bombay 1974-04-12 Liberation Guaranteed
4,
4,SP BG 04-24-34 New York 1966-08-12 Varnasrama Dharma
4,
4,SP BG 04-24 Bombay 1974-04-13 You Can't Separate Anything
4,
4,SP BG 04-24 New Mayapur 1976-08-04 Krishna is there-- But You--etc
4,
4,SP BG 04-25 Bombay 1974-04-14
4,
4,SP BG 04-26 Bombay 1974-04-15 Attracted by Spiritual Affairs
4,
4,SP BG 04-27 Bombay 1974-04-16 Learning to Satisfy the Right Senses
4,
4,SP BG 04-28 Bombay 1974-04-17 The Magic of Krsna Consciousness
4,
4,SP BG 04-34 New York 1966-08-17 Only Think of Krishna
5,
5,SP BG 05-07-14 New York 1966-08-27 Krsna and We-Very Intimately Connected
5,
5,SP BG 05-22 New York 1966-08-31 Actual Sense Pleasure
6,
6,SP BG 06-01-04 New York 1966-09-02 You Serve Krishna or Maya
6,
6,SP BG 06-01 Los Angeles 1969-02-13 Yoga System--Everything Is Spiritual
6,
6,SP BG 06-02-05 Los Angeles 1969-02-14 Yoga System--The Yoga Ladder
6,
6,SP BG 06-04-09 New York 1966-09-04 Engaging the Mind in Krsna Consciousness
6,
6,SP BG 06-04-09 New York 1966-09-07 How One Should Perform Yoga
6,
6,SP BG 06-06 Los Angeles 1969-02-15 Yoga System--Conquering the Mind
6,
6,SP BG 06-11-19 New York 1966-09-07 Yoga System--Chant the Holy--etc
6,
6,SP BG 06-13-15 Los Angeles 1969-02-16 Yoga System--We Want Something--etc
6,
6,SP BG 06-16-24 Los Angeles 1969-02-17 Yoga System--Keep This Useless Body Fit
6,
6,SP BG 06-20-25 New Vrindavan 1976-06-23 Yoga System--Precaution Is--etc
6,
6,SP BG 06-21-25 New York 1966-09-09 Yoga System--Searching After--etc
6,
6,SP BG 06-25-29 Los Angeles 1969-02-18 Yoga System--Be Self-Centered
6,
6,SP BG 06-30-34 Los Angeles 1969-02-19 Yoga System--UNIVERSAL LOVE----etc
6,
6,SP BG 06-32 New York 1966-09-14 Yoga System--Vairagya It's--etc
6,
6,SP BG 06-40-43 New York 1966-09-18 Yoga System--There Is No Loss--etc
6,
6,SP BG 06-47 Ahmedabad 1972-12-12 Blockhead to Bhakta
7,
7,SP BG 07-01-03 Stockholm 1973-09-10 Nothing More to Be Known
7,
7,SP BG 07-01-05 Hong Kong 1974-01-31
7,
7,SP BG 07-01 Ahmedabad 1972-12-13 Kanistha Madhyama Uttama
7,
7,SP BG 07-01 Ahmedabad 1972-12-14 Theory of Uncertainty
7,
7,SP BG 07-01 Bombay 1973-01-13 At Pandal--Rise to Platform--etc
7,
7,SP BG 07-01 Bombay 1975-12-20 The Real Thing
7,
7,SP BG 07-01 Calcutta 1973-01-27 The Only Way to Understand God
7,
7,SP BG 07-01 Durban 1975-10-09 Relatively Dirty or Absolutely Clean
7,
7,SP BG 07-01 Fiji 1975-05-24 The Only Business of the Human Being
7,
7,SP BG 07-01 Gainesville 1971-07-29 This Movement Appeals--etc
7,
7,SP BG 07-01 Hong Kong 1975-01-25 Transfer Your Attachment
7,
7,SP BG 07-01 Hyderabad 1974-04-27 Krishna in His Vibration Form
7,
7,SP BG 07-01 Hyderabad 1976-08-22 Increase Your Attachment to the Lord
7,
7,SP BG 07-01 London 1971-08-04 Beauty of Brahminical Culture
7,
7,SP BG 07-01 London 1975-03-09 Attachment to the Supreme
7,
7,SP BG 07-01 Los Angeles 1968-12-02 Pros and Cons of the Material World
7,
